GBPUSD,1000,1.51
GBPJPY,1500,178.13
USDEUR,1200,0.86
USDCAD,10000,1.2
EURGBP,161200,0.010586126
EURJPY,862000,0.128014469
GBPUSD,494400,1.584361475
GBPCAN,793300,0.377133058
USDEUR,213400,1.523894058
USDCAD,842400,0.488986388
EURGBP,524400,0.11294136
EURJPY,188500,0.322168084
EURGBP,460600,0.856185152
EURJPY,626300,1.440808817
GBPUSD,538000,0.759331124
GBPCAN,666600,1.788233394
USDEUR,520300,0.05200267
USDCAD,428200,1.955108965
EURGBP,598900,0.618149718
EURJPY,954800,1.672092178
EURGBP,400000,1.060683352
EURJPY,999500,0.440315809
GBPUSD,127500,0.26918682
GBPCAN,445200,1.897728483
USDEUR,866200,0.351264132
USDCAD,55400,1.79126016
EURGBP,583700,1.778712028
EURJPY,852800,0.168096855
EURGBP,955100,1.122153004
EURJPY,571900,1.011570572
GBPUSD,985000,0.363994303
GBPCAN,324000,0.596036496
USDEUR,213600,1.109496842
USDCAD,83900,1.11509814
EURGBP,440000,0.613730837
EURJPY,952300,0.188196008
EURGBP,335500,0.683673059
EURJPY,311500,0.484289628
GBPUSD,560600,0.697092971
GBPCAN,92000,0.410765716
USDEUR,538800,0.657274358
USDCAD,459700,0.92531955
EURGBP,408600,1.257762895
EURJPY,310400,1.520089544
EURGBP,183500,0.379452011
EURJPY,129200,0.153307707
GBPUSD,650100,1.445452826
GBPCAN,982900,0.45874513
USDEUR,596700,1.324376086
USDCAD,77200,1.863020911
EURGBP,402900,1.039632336
EURJPY,84400,1.902299925
EURGBP,312200,0.28042724
EURJPY,266300,0.795724015
GBPUSD,706600,1.532960923
GBPCAN,790900,1.257049734
USDEUR,305000,1.383205612
USDCAD,429300,0.134730294
EURGBP,550500,0.115190986
EURJPY,495500,0.801078008
EURGBP,135600,1.261205672
EURJPY,981000,1.254125994
GBPUSD,641900,0.4611034
GBPCAN,536500,1.540739988
USDEUR,35600,1.316492325
USDCAD,931900,0.695014117
EURGBP,604200,1.464829124
EURJPY,712300,1.709343587
EURGBP,724700,1.143276564
EURJPY,304500,0.882933954
GBPUSD,727400,1.931371462
GBPCAN,883500,0.519885947
USDEUR,731400,0.106632297
USDCAD,386000,0.051658747
EURGBP,891700,0.325803364
EURJPY,996200,1.723466445
EURGBP,135300,1.31717803
EURJPY,237600,0.161405366
GBPUSD,746100,1.776902199
GBPCAN,797700,0.450950419
USDEUR,896000,1.495210682
USDCAD,677800,1.926118698
EURGBP,695400,1.555486079
EURJPY,553500,1.300201861
EURGBP,175000,0.554418241
EURJPY,532800,1.091651868
GBPUSD,760900,0.646812901
GBPCAN,600600,1.580578913
USDEUR,33400,1.371853907
USDCAD,412800,1.718396458
EURGBP,749900,1.522638688
EURJPY,326100,1.686856801
EURGBP,250500,1.873208996
EURJPY,849400,1.111492898
GBPUSD,363000,0.7095675
GBPCAN,583600,0.821951903
USDEUR,793700,0.76538255
USDCAD,109800,0.701046187
EURGBP,775200,1.193487778
EURJPY,476800,1.36361331
